Name		minicontrol		Action			Detect			Sensitivity						|<--	Output					-->|
	Oct	Map	Key	Touch (Vel 1-24)	Tap (Vel 25-119)	Hit (Vel 120-127)	Event2	Chan	Note	Min	Touch	Tap	Hit	Max	Key Detect	Touch Detect	Touch Action	Tap Detect	Tap Action	Hit Detect	Hit Action	Key complete
			A2	Alt A	Shift Alt A	Control Alt A	on	0	45	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E48:G48)="","",UNICHAR(34)&H48&" "&I48&" "&J48&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E48),"",L48)	=IF(ISBLANK(E48),"",LOOKUP(E48,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F48),"",M48)	=IF(ISBLANK(F48),"",LOOKUP(F48,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G48),"",N48)	=IF(ISBLANK(G48),"",LOOKUP(G48,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E48:G48)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A#2	Alt 3	Shift Alt 3	Control Alt 3	on	0	46	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E49:G49)="","",UNICHAR(34)&H49&" "&I49&" "&J49&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E49),"",L49)	=IF(ISBLANK(E49),"",LOOKUP(E49,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F49),"",M49)	=IF(ISBLANK(F49),"",LOOKUP(F49,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G49),"",N49)	=IF(ISBLANK(G49),"",LOOKUP(G49,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E49:G49)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			B2	Alt B	Shift Alt B	Control Alt B	on	0	47	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E50:G50)="","",UNICHAR(34)&H50&" "&I50&" "&J50&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E50),"",L50)	=IF(ISBLANK(E50),"",LOOKUP(E50,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F50),"",M50)	=IF(ISBLANK(F50),"",LOOKUP(F50,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G50),"",N50)	=IF(ISBLANK(G50),"",LOOKUP(G50,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E50:G50)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C3	Alt C	Shift Alt C	Control Alt C	on	0	48	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E51:G51)="","",UNICHAR(34)&H51&" "&I51&" "&J51&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E51),"",L51)	=IF(ISBLANK(E51),"",LOOKUP(E51,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F51),"",M51)	=IF(ISBLANK(F51),"",LOOKUP(F51,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G51),"",N51)	=IF(ISBLANK(G51),"",LOOKUP(G51,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E51:G51)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C#3	Alt 4	Shift Alt 4	Control Alt 4	on	0	49	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E52:G52)="","",UNICHAR(34)&H52&" "&I52&" "&J52&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E52),"",L52)	=IF(ISBLANK(E52),"",LOOKUP(E52,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F52),"",M52)	=IF(ISBLANK(F52),"",LOOKUP(F52,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G52),"",N52)	=IF(ISBLANK(G52),"",LOOKUP(G52,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E52:G52)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D3	Alt D	Shift Alt D	Control Alt D	on	0	50	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E53:G53)="","",UNICHAR(34)&H53&" "&I53&" "&J53&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E53),"",L53)	=IF(ISBLANK(E53),"",LOOKUP(E53,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F53),"",M53)	=IF(ISBLANK(F53),"",LOOKUP(F53,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G53),"",N53)	=IF(ISBLANK(G53),"",LOOKUP(G53,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E53:G53)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D#3	Alt 5	Shift Alt 5	Control Alt 5	on	0	51	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E54:G54)="","",UNICHAR(34)&H54&" "&I54&" "&J54&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E54),"",L54)	=IF(ISBLANK(E54),"",LOOKUP(E54,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F54),"",M54)	=IF(ISBLANK(F54),"",LOOKUP(F54,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G54),"",N54)	=IF(ISBLANK(G54),"",LOOKUP(G54,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E54:G54)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			E3	Alt E	Shift Alt E	Control Alt E	on	0	52	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E55:G55)="","",UNICHAR(34)&H55&" "&I55&" "&J55&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E55),"",L55)	=IF(ISBLANK(E55),"",LOOKUP(E55,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F55),"",M55)	=IF(ISBLANK(F55),"",LOOKUP(F55,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G55),"",N55)	=IF(ISBLANK(G55),"",LOOKUP(G55,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E55:G55)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			F3	Alt F	Shift Alt F	Control Alt F	on	0	53	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E56:G56)="","",UNICHAR(34)&H56&" "&I56&" "&J56&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E56),"",L56)	=IF(ISBLANK(E56),"",LOOKUP(E56,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F56),"",M56)	=IF(ISBLANK(F56),"",LOOKUP(F56,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G56),"",N56)	=IF(ISBLANK(G56),"",LOOKUP(G56,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E56:G56)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			F#3	Alt 6	Shift Alt 6	Control Alt 6	on	0	54	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E57:G57)="","",UNICHAR(34)&H57&" "&I57&" "&J57&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E57),"",L57)	=IF(ISBLANK(E57),"",LOOKUP(E57,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F57),"",M57)	=IF(ISBLANK(F57),"",LOOKUP(F57,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G57),"",N57)	=IF(ISBLANK(G57),"",LOOKUP(G57,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E57:G57)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G3	Alt G	Shift Alt G	Control Alt G	on	0	55	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E58:G58)="","",UNICHAR(34)&H58&" "&I58&" "&J58&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E58),"",L58)	=IF(ISBLANK(E58),"",LOOKUP(E58,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F58),"",M58)	=IF(ISBLANK(F58),"",LOOKUP(F58,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G58),"",N58)	=IF(ISBLANK(G58),"",LOOKUP(G58,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E58:G58)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G#3	Alt 7	Shift Alt 7	Control Alt 7	on	0	56	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E59:G59)="","",UNICHAR(34)&H59&" "&I59&" "&J59&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E59),"",L59)	=IF(ISBLANK(E59),"",LOOKUP(E59,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F59),"",M59)	=IF(ISBLANK(F59),"",LOOKUP(F59,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G59),"",N59)	=IF(ISBLANK(G59),"",LOOKUP(G59,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E59:G59)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A3	Alt H	Shift Alt H	Control Alt H	on	0	57	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E60:G60)="","",UNICHAR(34)&H60&" "&I60&" "&J60&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E60),"",L60)	=IF(ISBLANK(E60),"",LOOKUP(E60,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F60),"",M60)	=IF(ISBLANK(F60),"",LOOKUP(F60,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G60),"",N60)	=IF(ISBLANK(G60),"",LOOKUP(G60,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E60:G60)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A#3	Alt 8	Shift Alt 8	Control Alt 8	on	0	58	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E61:G61)="","",UNICHAR(34)&H61&" "&I61&" "&J61&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E61),"",L61)	=IF(ISBLANK(E61),"",LOOKUP(E61,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F61),"",M61)	=IF(ISBLANK(F61),"",LOOKUP(F61,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G61),"",N61)	=IF(ISBLANK(G61),"",LOOKUP(G61,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E61:G61)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			B3	Alt I	Shift Alt I	Control Alt I	on	0	59	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E62:G62)="","",UNICHAR(34)&H62&" "&I62&" "&J62&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E62),"",L62)	=IF(ISBLANK(E62),"",LOOKUP(E62,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F62),"",M62)	=IF(ISBLANK(F62),"",LOOKUP(F62,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G62),"",N62)	=IF(ISBLANK(G62),"",LOOKUP(G62,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E62:G62)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C4	Alt J	Shift Alt J	Control Alt J	on	0	60	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E63:G63)="","",UNICHAR(34)&H63&" "&I63&" "&J63&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E63),"",L63)	=IF(ISBLANK(E63),"",LOOKUP(E63,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F63),"",M63)	=IF(ISBLANK(F63),"",LOOKUP(F63,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G63),"",N63)	=IF(ISBLANK(G63),"",LOOKUP(G63,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E63:G63)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C#4	Alt 9	Shift Alt 9	Control Alt 9	on	0	61	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E64:G64)="","",UNICHAR(34)&H64&" "&I64&" "&J64&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E64),"",L64)	=IF(ISBLANK(E64),"",LOOKUP(E64,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F64),"",M64)	=IF(ISBLANK(F64),"",LOOKUP(F64,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G64),"",N64)	=IF(ISBLANK(G64),"",LOOKUP(G64,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E64:G64)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D4	Alt K	Shift Alt K	Control Alt K	on	0	62	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E65:G65)="","",UNICHAR(34)&H65&" "&I65&" "&J65&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E65),"",L65)	=IF(ISBLANK(E65),"",LOOKUP(E65,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F65),"",M65)	=IF(ISBLANK(F65),"",LOOKUP(F65,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G65),"",N65)	=IF(ISBLANK(G65),"",LOOKUP(G65,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E65:G65)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D#4	Alt 0	Shift Alt 0	Control Alt 0	on	0	63	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E66:G66)="","",UNICHAR(34)&H66&" "&I66&" "&J66&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E66),"",L66)	=IF(ISBLANK(E66),"",LOOKUP(E66,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F66),"",M66)	=IF(ISBLANK(F66),"",LOOKUP(F66,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G66),"",N66)	=IF(ISBLANK(G66),"",LOOKUP(G66,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E66:G66)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			E4	Alt L	Shift Alt L	Control Alt L	on	0	64	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E67:G67)="","",UNICHAR(34)&H67&" "&I67&" "&J67&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E67),"",L67)	=IF(ISBLANK(E67),"",LOOKUP(E67,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F67),"",M67)	=IF(ISBLANK(F67),"",LOOKUP(F67,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G67),"",N67)	=IF(ISBLANK(G67),"",LOOKUP(G67,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E67:G67)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			F4	Cut	Copy	Paste	on	0	65	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E68:G68)="","",UNICHAR(34)&H68&" "&I68&" "&J68&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E68),"",L68)	=IF(ISBLANK(E68),"",LOOKUP(E68,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F68),"",M68)	=IF(ISBLANK(F68),"",LOOKUP(F68,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G68),"",N68)	=IF(ISBLANK(G68),"",LOOKUP(G68,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E68:G68)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			F#4	Click	Double Click	Quad Click	on	0	66	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E69:G69)="","",UNICHAR(34)&H69&" "&I69&" "&J69&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E69),"",L69)	=IF(ISBLANK(E69),"",LOOKUP(E69,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F69),"",M69)	=IF(ISBLANK(F69),"",LOOKUP(F69,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G69),"",N69)	=IF(ISBLANK(G69),"",LOOKUP(G69,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E69:G69)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G4	Delete	Delete	Delete	on	0	67	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E70:G70)="","",UNICHAR(34)&H70&" "&I70&" "&J70&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E70),"",L70)	=IF(ISBLANK(E70),"",LOOKUP(E70,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F70),"",M70)	=IF(ISBLANK(F70),"",LOOKUP(F70,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G70),"",N70)	=IF(ISBLANK(G70),"",LOOKUP(G70,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E70:G70)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G#4	Middle Click	Middle Double Click	Middle Triple Click	on	0	68	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E71:G71)="","",UNICHAR(34)&H71&" "&I71&" "&J71&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E71),"",L71)	=IF(ISBLANK(E71),"",LOOKUP(E71,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F71),"",M71)	=IF(ISBLANK(F71),"",LOOKUP(F71,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G71),"",N71)	=IF(ISBLANK(G71),"",LOOKUP(G71,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E71:G71)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A4	Escape	Escape	Escape	on	0	69	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E72:G72)="","",UNICHAR(34)&H72&" "&I72&" "&J72&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E72),"",L72)	=IF(ISBLANK(E72),"",LOOKUP(E72,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F72),"",M72)	=IF(ISBLANK(F72),"",LOOKUP(F72,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G72),"",N72)	=IF(ISBLANK(G72),"",LOOKUP(G72,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E72:G72)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A#4	Right Click	Right Double Click	Right Triple Click	on	0	70	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E73:G73)="","",UNICHAR(34)&H73&" "&I73&" "&J73&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E73),"",L73)	=IF(ISBLANK(E73),"",LOOKUP(E73,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F73),"",M73)	=IF(ISBLANK(F73),"",LOOKUP(F73,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G73),"",N73)	=IF(ISBLANK(G73),"",LOOKUP(G73,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E73:G73)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
